defense_id,defense_name,category,closure_group,coverage_direction,coverage_height,contact_mode,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,official_time_s,force_capacity_factor,contact_stiffness_ratio,source_type,description,force_capacity_basis,stiffness_basis
D01,cross_block,block,active,front,high,rigid,shoulder_pair,30,,,,,0.85,0.50,derived_model,十字格挡,双臂交叉硬格挡接触面积最大,刚性接触主导并叠加结构耗散
D02,single_parry,block,active,front,high,rigid,elbow_single,40,,,,,0.55,0.50,derived_model,单手拍挡,按拨挡杠杆卸力路径折算承载能力,刚性接触主导并叠加结构耗散
D03,elbow_block,block,active,front,high,rigid,elbow_single,50,,,,,0.65,0.50,derived_model,肘挡,短力臂紧凑刚链承载能力高于单手拍挡,刚性接触主导并叠加结构耗散
D04,downward_block,block,active,front,low,rigid,shoulder_single,40,,,,,0.60,0.50,derived_model,下压格挡,单臂下压格挡承载低于十字格挡,刚性接触主导并叠加结构耗散
D05,clamp_block,block,active,front,middle,rigid,wrist_pair,60,,,,,0.70,0.50,derived_model,钳制格挡,双手夹持形成双侧约束承载能力中高,刚性接触主导并叠加结构耗散
D06,lateral_slip,evade,active,lateral,all,none,hip_lateral,30,waist_turn,10,,,0.00,0.05,derived_model,左右侧闪,无接触不受击穿约束,近似完全规避仅保留极小残余风险
D07,duck_evade,evade,active,front,high,none,knee_single,70,,,,,0.00,0.05,derived_model,下潜闪避,无接触不受击穿约束,近似完全规避仅保留极小残余风险
D08,back_step,evade,active,all,all,none,step_back,50,torso_turn,10,,,0.00,0.05,derived_model,后跳后撤步,无接触不受击穿约束,近似完全规避仅保留极小残余风险
D09,spin_evade,evade,active,spin,all,none,waist_turn,120,,,,,0.00,0.05,derived_model,转身闪避,无接触不受击穿约束,近似完全规避仅保留极小残余风险
D10,orbit_step,evade,active,lateral,all,none,waist_turn,90,hip_lateral,45,,,0.00,0.05,derived_model,滑步环绕,无接触不受击穿约束,近似完全规避仅保留极小残余风险
D11,head_guard,posture,fallback,front,high,passive,shoulder_pair,40,,,,,0.65,0.35,derived_model,护头防御,双臂护头形成面接触支撑,被动接触并通过姿态收紧分散冲击
D12,sink_guard,posture,fallback,front,middle,passive,knee_pair,40,,,,,0.60,0.35,derived_model,沉身防御,沉身缩体降低受击面积,被动接触并通过姿态收紧分散冲击
D13,body_turn_guard,posture,fallback,lateral,middle,passive,waist_turn,45,,,,,0.58,0.35,derived_model,侧身防御,侧转缩窄正面投影但承载链较短,被动接触并通过姿态收紧分散冲击
D14,com_compensation,balance,fallback,all,all,passive,imu_micro,10,,,,,0.45,0.30,derived_model,重心补偿,微调关节吸收部分冲量但非主接触链,以姿态调整为主的低刚度接触
D15,yield_buffer,balance,fallback,front,middle,soft,imu_soft,20,,,,,0.50,0.15,derived_model,卸力缓冲,柔顺关节主动卸力承载能力中等,柔性接触耗散比例最高
D16,step_adjust,balance,fallback,all,all,passive,step_adjust,30,,,,,0.40,0.30,derived_model,步点调整,步法再支撑主要是补偿而非硬接,以姿态调整为主的低刚度接触
D17,controlled_fall,ground,fallback,all,all,ground,whole_body_roll,90,,,,,0.35,0.70,derived_model,受控倒地,主动泄力转移到地面支撑链,地面接触刚性高但能量转移大
D18,rapid_getup,ground,fallback,all,all,ground,get_up,0,,,,1.00,0.20,0.70,official_plus_model,快速起身,题目明确给出起身时间且承载以地面支撑为主,地面接触刚性高但能量转移大
D19,ground_guard,ground,fallback,low,low,ground,leg_raise,60,,,,,0.30,0.70,derived_model,倒地防御,倒地后主要依赖地面与下肢共同承载,地面接触刚性高但能量转移大
D20,slip_parry_combo,combo,active,mixed,high,composite,combo,0,,,D06|D02,,0.00,0.00,derived_model,闪挡反,由侧闪与拍挡组合构成,由子动作吸收率按执行时间加权生成
D21,duck_slip_combo,combo,active,mixed,middle,composite,combo,0,,,D07|D06,,0.00,0.00,derived_model,潜闪踢,由下潜与侧闪组合构成,由子动作吸收率按执行时间加权生成
D22,block_retreat_combo,combo,active,mixed,all,composite,combo,0,,,D01|D08,,0.00,0.00,derived_model,挡撤绕,由格挡与后撤组合构成,由子动作吸收率按执行时间加权生成
