action_id,trajectory_type,direction_tag,height_tag,range_tag,target_zone,contact_mode_attack,primary_plane,attack_entry_state,attack_trigger_state,semantic_source_type,description
A01,linear,front,middle_high,middle,head_torso,fist_contact,sagittal,standing,standing,derived_from_q1_action_definition,straight punch
A02,arc,lateral,high,close,head_torso,fist_contact,transverse,standing,standing,derived_from_q1_action_definition,hook punch
A03,sequence,front,middle_high,close,head_torso,multi_contact,multi_plane,standing,standing,derived_from_q1_phase_logic,combo punch
A04,arc,spin,high,middle,head_torso,fist_contact,transverse,standing,standing,derived_from_q1_action_definition,swing punch
A05,linear,front,middle,long,torso_limbs,leg_contact,sagittal,standing,standing,derived_from_q1_action_definition,front kick
A06,linear,lateral,middle,long,torso_limbs,leg_contact,frontal,standing,standing,derived_from_q1_action_definition,side kick
A07,spin,spin,high,long,head_torso,leg_contact,multi_plane,standing,standing,derived_from_q1_phase_logic,spinning kick
A08,sweep,low,low,middle,lower_limbs,sweep_contact,transverse,standing,standing,derived_from_q1_action_definition,low sweep
A09,linear,front,middle,close,torso,leg_contact,sagittal,standing,standing,derived_from_q1_action_definition,knee strike
A10,sequence,front_lateral,mixed,middle,all,multi_contact,multi_plane,standing,standing,derived_from_q1_phase_logic,punch kick combo
A11,sequence,front,middle,middle,torso_limbs,multi_contact,multi_plane,standing,standing,derived_from_q1_phase_logic,five kick combo
A12,rush,front,middle,close,torso,body_contact,sagittal,standing,standing,derived_from_q1_phase_logic,body charge
A13,recovery,mixed,middle,close,torso_limbs,conditional_contact,multi_plane,fallen,fallen,derived_from_q1_phase_logic,counter after fall
