defense_id,defense_name,category,defense_role,is_primary_candidate,closure_group,entry_state,exit_state,coverage_direction,coverage_height,coverage_range,coverage_target_zone,contact_mode,support_mode_def,route_type,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,official_time_s,force_capacity_factor_input,contact_stiffness_ratio_input,active_segments_json,support_segments_json,counter_readiness_tag,source_type,description,force_capacity_basis,stiffness_basis
D01,cross_block,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,shoulder_pair,30,,,,,0.85,0.50,"[""S2"",""S3"",""S4"",""S5"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,cross block for high straight attacks,double arm rigid frame,rigid contact with structural dissipation
D02,single_parry,block,active_primary,1,active,standing,standing,front,high,middle,head_torso,rigid,double_support,block_line,elbow_single,40,,,,,0.55,0.50,"[""S2"",""S4"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",fast,derived_model,single hand parry for line attacks,lever based single arm parry,rigid contact with structural dissipation
D03,elbow_block,block,active_primary,1,active,standing,standing,front,high,close,head_torso,rigid,double_support,block_line,elbow_single,50,,,,,0.65,0.50,"[""S2"",""S4"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,elbow block at close range,short rigid chain support,rigid contact with structural dissipation
D04,downward_block,block,active_primary,1,active,standing,standing,front,low,middle,lower_limbs,rigid,double_support,block_line,shoulder_single,40,,,,,0.60,0.50,"[""S2"",""S3"",""S4"",""S5"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,downward block for low line attacks,single shoulder support chain,rigid contact with structural dissipation
D05,clamp_block,block,active_primary,1,active,standing,standing,front,middle,close,torso_limbs,rigid,double_support,block_line,wrist_pair,60,,,,,0.70,0.50,"[""S2"",""S3"",""S4"",""S5"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",slow,derived_model,close range clamp and catch,two hand close range constraint,rigid contact with structural dissipation
D06,lateral_slip,evade,active_primary,1,active,standing,off_line,lateral,all,middle,all,none,dynamic_step,evade_lateral,hip_lateral,30,waist_turn,10,,,0.00,0.05,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",fast,derived_model,lateral slip to leave the attack line,non contact evade route,noncontact baseline reference
D07,duck_evade,evade,active_primary,1,active,standing,crouched,front,high,middle,head_torso,none,quasi_single_support,evade_duck,knee_single,70,,,,,0.00,0.05,"[""S2"",""S7"",""S8""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,duck under high line attacks,non contact vertical evade,noncontact baseline reference
D08,back_step,evade,active_primary,1,active,standing,off_line,front_lateral,middle_high,middle,head_torso,none,dynamic_step,evade_back,step_back,50,torso_turn,10,,,0.00,0.05,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,backward step to break range against straight or mid-high entries,non contact backward route,noncontact baseline reference
D09,spin_evade,evade,active_primary,1,active,standing,off_line,spin,all,middle,all,none,single_support_rotational,evade_spin,waist_turn,120,,,,,0.00,0.05,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,spin off the incoming line,rotational evade route,noncontact baseline reference
D10,orbit_step,evade,active_primary,1,active,standing,off_line,spin,all,long,all,none,dynamic_step,evade_orbit,waist_turn,90,hip_lateral,45,,,0.00,0.05,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,orbit step around wide spin or large arc attacks,non contact orbit route,noncontact baseline reference
D11,head_guard,posture,fallback_mitigation,0,fallback,standing,standing,front,high,middle,head,passive,double_support,head_cover,shoulder_pair,40,,,,,0.65,0.35,"[""S2"",""S3"",""S4"",""S5"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,high guard posture for fallback,passive area coverage,passive contact spread
D12,sink_guard,posture,fallback_mitigation,0,fallback,standing,crouched,front,middle,close,torso,passive,double_support,torso_sink,knee_pair,40,,,,,0.60,0.35,"[""S2"",""S7"",""S8""]","[""S7"",""S8"",""S9"",""S10""]",slow,derived_model,compact torso guard posture,passive body contraction,passive contact spread
D13,body_turn_guard,posture,fallback_mitigation,0,fallback,standing,standing,lateral,middle,middle,torso,passive,double_support,body_turn,waist_turn,45,,,,,0.58,0.35,"[""S2"",""S7"",""S8""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,body turn guard to narrow target,passive torso turn,passive contact spread
D14,com_compensation,balance,fallback_mitigation,0,fallback,standing,standing,front_lateral,middle,close,torso,passive,soft_adjust,balance_comp,imu_micro,10,,,,,0.45,0.30,"[""S2"",""S7"",""S8""]","[""S7"",""S8"",""S9"",""S10""]",none,derived_model,center of mass compensation micro adjustment for close torso perturbation,micro adjustment support chain,soft low stiffness adjustment
D15,yield_buffer,balance,fallback_mitigation,0,fallback,standing,standing,front,middle,close,torso,soft,soft_adjust,yield_soft,imu_soft,20,,,,,0.50,0.15,"[""S2"",""S3"",""S4"",""S5"",""S6""]","[""S7"",""S8"",""S9"",""S10""]",slow,derived_model,yield and buffer against rush or body force at close range,soft yielding path,high damping soft contact
D16,step_adjust,balance,fallback_mitigation,0,fallback,standing,standing,all,all,all,all,passive,dynamic_step,balance_step,step_adjust,30,,,,,0.40,0.30,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",fast,derived_model,step adjustment for balance recovery,step based balance reset,soft low stiffness adjustment
D17,controlled_fall,ground,emergency_transition,0,fallback,standing,fallen,all,all,all,all,ground,ground_support,ground_transfer,whole_body_roll,90,,,,,0.35,0.70,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S2"",""S7"",""S8"",""S9"",""S10""]",none,derived_model,controlled fall as emergency transition,whole body fall transfer,ground contact transfer
D18,rapid_getup,ground,recovery_only,0,fallback,fallen,standing,all,all,all,all,ground,ground_support,recovery_up,get_up,0,,,,1.00,0.20,0.70,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S2"",""S7"",""S8"",""S9"",""S10""]",slow,official_plus_model,rapid get up only from fallen state,official getup time reference,ground recovery contact
D19,ground_guard,ground,ground_only,0,fallback,fallen,ground_guard,low,low,close,lower_limbs,ground,ground_support,ground_hold,leg_raise,60,,,,,0.30,0.70,"[""S7"",""S8"",""S9"",""S10""]","[""S2"",""S7"",""S8"",""S9"",""S10""]",none,derived_model,ground guard against low attacks,ground defense only,ground recovery contact
D20,slip_parry_combo,combo,active_combo,1,active,standing,standing,mixed,high,middle,head_torso,composite,dynamic_step,combo_lateral_parry,combo,0,,,D06|D02,,0.00,0.00,"[""S2"",""S4"",""S6"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",fast,derived_model,lateral slip plus parry combo,composite evade and parry,derived from child actions
D21,duck_slip_combo,combo,active_combo,1,active,standing,crouched,mixed,middle,middle,torso_limbs,composite,quasi_single_support,combo_duck_slip,combo,0,,,D07|D06,,0.00,0.00,"[""S2"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,duck and slip combo,composite duck and slip route,derived from child actions
D22,block_retreat_combo,combo,active_combo,1,active,standing,off_line,mixed,all,long,all,composite,dynamic_step,combo_block_retreat,combo,0,,,D01|D08,,0.00,0.00,"[""S2"",""S3"",""S4"",""S5"",""S6"",""S7"",""S8"",""S9"",""S10""]","[""S7"",""S8"",""S9"",""S10""]",medium,derived_model,block then retreat combo,composite block and retreat,derived from child actions
