contact_load_family,mechanism_tag,family_success_factor,family_damage_factor,source_type,notes
upper_terminal,rigid_high_cross,0.95,0.92,derived_rule_contact_family,high compatibility for straight and arc punches
upper_terminal,rigid_high_parry,0.92,0.88,derived_rule_contact_family,high compatibility for upper terminal punches
upper_terminal,rigid_close_elbow,0.88,0.82,derived_rule_contact_family,close rigid elbow works well against upper terminal contact
upper_terminal,rigid_low_block,0.20,0.18,derived_rule_contact_family,low block is poorly aligned with upper terminal contact
upper_terminal,rigid_close_clamp,0.55,0.58,derived_rule_contact_family,close clamp can partially restrain arm attacks
upper_terminal,evade_lateral,0.90,0.75,derived_rule_contact_family,lateral exit is very effective against upper terminal contact
upper_terminal,evade_duck,0.42,0.30,derived_rule_contact_family,duck is situational against upper terminal contact
upper_terminal,evade_back,0.70,0.60,derived_rule_contact_family,back step is usable but less ideal than lateral exit
upper_terminal,evade_spin,0.60,0.48,derived_rule_contact_family,spin evade is secondary against upper terminal contact
upper_terminal,evade_orbit,0.72,0.62,derived_rule_contact_family,orbit is moderate against wide upper attacks
upper_terminal,posture_high_cover,0.86,0.78,derived_rule_contact_family,high cover reduces upper terminal damage
upper_terminal,posture_torso_sink,0.30,0.35,derived_rule_contact_family,torso sink is not designed for head-line punches
upper_terminal,posture_body_turn,0.58,0.56,derived_rule_contact_family,body turn can reduce target area against punches
upper_terminal,balance_micro_comp,0.28,0.30,derived_rule_contact_family,micro balance correction is weak against direct punches
upper_terminal,balance_soft_yield,0.40,0.46,derived_rule_contact_family,soft yield gives some relief but is not primary
upper_terminal,balance_step_reset,0.36,0.42,derived_rule_contact_family,step reset helps but is not a direct punch answer
upper_terminal,ground_transfer,0.05,0.05,derived_rule_contact_family,ground transfer is not feasible for standing upper attacks
upper_terminal,recovery_up,0.02,0.02,derived_rule_contact_family,recovery up is not a standing punch defense
upper_terminal,ground_hold,0.05,0.06,derived_rule_contact_family,ground hold is not a standing punch defense
upper_terminal,combo_lateral_parry,0.72,0.62,derived_rule_contact_family,combo lateral parry is usable but should not dominate single upper-terminal attacks
upper_terminal,combo_duck_slip,0.62,0.54,derived_rule_contact_family,combo duck slip is usable but secondary against single upper-terminal attacks
upper_terminal,combo_block_retreat,0.60,0.58,derived_rule_contact_family,combo block retreat is conservative but secondary against single upper-terminal attacks
lower_terminal,rigid_high_cross,0.18,0.12,derived_rule_contact_family,high cross is poorly aligned with lower terminal contact
lower_terminal,rigid_high_parry,0.22,0.18,derived_rule_contact_family,high parry is poor against lower terminal contact
lower_terminal,rigid_close_elbow,0.45,0.36,derived_rule_contact_family,close elbow offers limited leg-line defense
