parameter_name,parameter_scope,source_class,value,unit,location,source_detail,notes
total_height_m,robot,official,1.4,m,q1_robot_params.csv,official,机器人总高度
total_mass_kg,robot,official,42.0,kg,q1_robot_params.csv,official,含电池总质量
leg_length_m,robot,official,0.6865,m,q1_robot_params.csv,official,小腿加大腿总长
arm_span_m,robot,official,1.44,m,q1_robot_params.csv,official,双臂臂展
max_joint_torque_nm,robot,official,145.0,Nm,q1_robot_params.csv,official,Q90H最大力矩
max_motor_speed_rpm,robot,official,6400.0,rpm,q1_robot_params.csv,official,Q90H最高转速
reducer_ratio,robot,official,25.0,ratio,q1_robot_params.csv,official,Q90H减速比
joint_mass_kg,robot,official,1.1,kg,q1_robot_params.csv,official,单关节质量
joint_count,robot,official,23.0,count,q1_robot_params.csv,official,关节总数
body_width_m,robot,official,0.53555,m,q1_robot_params.csv,official,机器人宽度
arm_length_m,robot,derived,0.72,m,RobotParams,derived_from_official,由臂展除以 2 得到
upper_arm_length_m,robot,derived,0.3384,m,RobotParams,derived_from_official,由单臂长度乘 0.47 得到
forearm_hand_length_m,robot,derived,0.3816,m,RobotParams,derived_from_official,由单臂长度乘 0.53 得到
thigh_length_m,robot,derived,0.37071000000000004,m,RobotParams,derived_from_official,由腿长乘 0.54 得到
shank_foot_length_m,robot,derived,0.31579,m,RobotParams,derived_from_official,由腿长乘 0.46 得到
omega_out_rad_s,robot,derived,26.808257310632904,rad/s,RobotParams,derived_from_official,由电机转速和减速比推导
omega_eff_rad_s,robot,derived,16.084954386379742,rad/s,RobotParams,derived_from_official,由输出轴角速度乘有效速度折减得到
com_height_m,robot,derived,1.0075749999999999,m,RobotParams,derived_from_official,由腿长与上体质心比例推导
foot_spacing_m,robot,derived,0.32132999999999995,m,RobotParams,derived_from_official,由机体宽度和双足站姿比例推导
stable_margin_m,robot,derived,0.12633,m,RobotParams,derived_from_official,由双足间距与支撑深度保守口径共同确定
mass_ratio,segment:S1,derived,0.08,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S1,derived,3.36,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S1,derived,0.182,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S1,assumption,0.5,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S1,assumption,0.25,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S2,derived,0.48,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S2,derived,20.16,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S2,derived,0.5315,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S2,assumption,0.5,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
